Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
116835,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET14",42.78440094,-80.07579803,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116832,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET2",42.77140045,-80.06919861,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116836,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy NTB",42.76499939,-80.0667038,reported,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116857,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Tecumseh Reef buoy EA6",42.7942009,-79.72440338,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116827,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (western), Pelee Passage buoy EP2",41.86940002,-82.50830078,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116826,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (western), Pelee Passage buoy P",41.86389923,-82.57779694,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116828,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (western), Pelee Passage buoy X",41.81169891,-82.46420288,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116945,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D12",45.21920013,-74.27110291,Map derived,Accurate,Raisin River-St. Lawrence River,4150310,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116943,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D13",45.20999908,-74.28530121,Map derived,Accurate,Raisin River-St. Lawrence River,4150310,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116941,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D14",45.21279907,-74.28749847,Map derived,Accurate,Raisin River-St. Lawrence River,4150310,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
