YEAR,STATE_DESCRIPTION,STATE_CODE,NAICS_CODE,INDUSTRY,BUSINESS_CLASSIFICATION_S,ANNUAL_PAYROLL_S,EMPLOYMENT_S,AVG_SALARY_S,BUSINESS_CLASSIFICATION_B,ANNUAL_PAYROLL_B,EMPLOYMENT_B,AVG_SALARY_B
2008,Vermont,VT,44-45,Retail Trade,Small Business,1258674000,48308,26055.187546576137,Large Business,334199000.0,16488.0,20269.22610383309
2008,Vermont,VT,48-49,Transportation and Warehousing,Small Business,250168000,7572,33038.56312731114,Large Business,79708000.0,2444.0,32613.747954173487
2008,Vermont,VT,51,Information,Small Business,275316000,7194,38270.22518765638,Large Business,113755000.0,2098.0,54220.686367969494
2008,Vermont,VT,52,Finance and Insurance,Small Business,548078000,10728,51088.55331841909,Large Business,305522000.0,4272.0,71517.32209737827
2008,Vermont,VT,53,Real Estate and Rental and Leasing,Small Business,158750000,5279,30071.98333017617,Large Business,14665000.0,532.0,27565.78947368421
2008,Vermont,VT,54,"Professional, Scientific, and Technical Services",Small Business,1120356000,21158,52951.88581151338,Large Business,436353000.0,9665.0,45147.749612002066
2008,Vermont,VT,56,Administrative and Support and Waste Management and Remediation Services,Small Business,300960000,10636,28296.3520120346,Large Business,72962000.0,3517.0,20745.52175149275
2008,Vermont,VT,61,Educational Services,Small Business,417834000,14310,29198.74213836478,Large Business,175696000.0,6857.0,25622.86714306548
2008,Vermont,VT,62,Health Care and Social Assistance,Small Business,1682168000,49676,33862.79088493437,Large Business,797123000.0,24024.0,33180.27805527805
2008,Vermont,VT,71,"Arts, Entertainment, and Recreation",Small Business,149150000,6580,22667.173252279634,Large Business,27605000.0,2515.0,10976.143141153081
2008,Vermont,VT,72,Accommodation and Food Services,Small Business,638852000,42338,15089.328735414994,Large Business,151036000.0,9549.0,15816.944182636926
2008,Vermont,VT,81,Other Services (except Public Administration),Small Business,421210000,17384,24229.751495628163,Large Business,7902000.0,248.0,31862.90322580645
2008,Virginia,VA,11,"Agriculture, Forestry, Fishing and Hunting",Small Business,186445000,5935,31414.490311710193,Large Business,56624000.0,829.0,68303.98069963812
2008,Virginia,VA,21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,490726000,9786,50145.71837318619,Large Business,357844000.0,5778.0,61932.15645552094
2008,Virginia,VA,22,Utilities,Small Business,244844000,4098,59747.19375305027,Large Business,1334565000.0,13842.0,96414.17425227568
2008,Virginia,VA,23,Construction,Small Business,15604812000,387012,40321.26135623702,Large Business,1537139000.0,26046.0,59016.31728480381
2008,Virginia,VA,42,Wholesale Trade,Small Business,6479414000,129456,50051.09071808182,Large Business,2960229000.0,49193.0,60175.817697639905
2008,Washington,WA,71,"Arts, Entertainment, and Recreation",Small Business,1757936000,81984,21442.427790788446,Large Business,756949000.0,19345.0,39128.92220211941
2008,Washington,WA,72,Accommodation and Food Services,Small Business,4899344000,319722,15323.76251868811,Large Business,1492823000.0,84207.0,17728.015485648462
2008,Washington,WA,81,Other Services (except Public Administration),Small Business,4972998000,195086,25491.311524148325,Large Business,477012000.0,13960.0,34169.914040114614
2008,Wisconsin,WI,55,Management of Companies and Enterprises,Small Business,905358000,16272,55639.01179941003,Large Business,4840583000.0,56589.0,85539.29208856844
2008,Wisconsin,WI,56,Administrative and Support and Waste Management and Remediation Services,Small Business,3283730000,125346,26197.325802179566,Large Business,1891795000.0,77034.0,24557.92247578991
2008,Wisconsin,WI,61,Educational Services,Small Business,992996000,44634,22247.52430882287,Large Business,1002513000.0,29514.0,33967.371416954666
2008,Wisconsin,WI,62,Health Care and Social Assistance,Small Business,11239822000,326852,34388.10837932765,Large Business,9072853000.0,211941.0,42808.390070821595
2008,Wisconsin,WI,71,"Arts, Entertainment, and Recreation",Small Business,1699002000,61454,27646.727633677223,Large Business,180601000.0,9947.0,18156.328541268726
2008,Wisconsin,WI,72,Accommodation and Food Services,Small Business,3607124000,321360,11224.558127956187,Large Business,860744000.0,66559.0,12932.04525308373
2008,Wisconsin,WI,81,Other Services (except Public Administration),Small Business,4247700000,195870,21686.322560882218,Large Business,433226000.0,13850.0,31279.85559566787
2008,Wyoming,WY,21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,982272000,14232,69018.5497470489,Large Business,1446578000.0,18134.0,79771.58927980589
2008,Wyoming,WY,22,Utilities,Small Business,52981000,927,57153.18230852211,Large Business,141782000.0,1780.0,79652.80898876404
2008,Wyoming,WY,31-33,Manufacturing,Small Business,542266000,13096,41406.994502138055,Large Business,322203000.0,4887.0,65930.63228974832
2008,Wyoming,WY,42,Wholesale Trade,Small Business,451168000,9640,46801.65975103735,Large Business,208931000.0,3344.0,62479.36602870814
2008,Wyoming,WY,44-45,Retail Trade,Small Business,912166000,35726,25532.2734143201,Large Business,343981000.0,15372.0,22377.11423367161
2008,Wyoming,WY,48-49,Transportation and Warehousing,Small Business,414202000,10074,41115.942028985504,Large Business,209084000.0,4679.0,44685.61658474033
2008,Wyoming,WY,51,Information,Small Business,183832000,5760,31915.277777777777,Large Business,67725000.0,1361.0,49761.20499632623
