"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"1613882","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.90462","-78.93603","reported","Accurate","Haw","03030002","2016","10","16","established","<a href = https://www.inaturalist.org/observations/4372147 target = _blank >iNaturalist observation ID 4372147</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616527","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96944","-78.96806","reported","Accurate","Haw","03030002","2018","5","21","established","<a href = https://www.inaturalist.org/observations/12681677 target = _blank >iNaturalist observation ID 12681677</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616478","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96926","-78.96405","reported","Accurate","Haw","03030002","2017","8","31","established","<a href = https://www.inaturalist.org/observations/7734699 target = _blank >iNaturalist observation ID 7734699</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616472","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96923","-78.96397","reported","Accurate","Haw","03030002","2017","8","9","established","<a href = https://www.inaturalist.org/observations/7430973 target = _blank >iNaturalist observation ID 7430973</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616544","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","7","1","established","<a href = https://www.inaturalist.org/observations/13974034 target = _blank >iNaturalist observation ID 13974034</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616623","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.88494","-78.90974","reported","Accurate","Haw","03030002","2016","8","6","established","<a href = https://www.inaturalist.org/observations/20859955 target = _blank >iNaturalist observation ID 20859955</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616592","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","10","4","established","<a href = https://www.inaturalist.org/observations/17207577 target = _blank >iNaturalist observation ID 17207577</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616594","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.88147","-78.9171","reported","Accurate","Haw","03030002","2018","10","9","established","<a href = https://www.inaturalist.org/observations/17363947 target = _blank >iNaturalist observation ID 17363947</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616566","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96861","-78.96416","reported","Accurate","Haw","03030002","2018","8","19","established","<a href = https://www.inaturalist.org/observations/15713997 target = _blank >iNaturalist observation ID 15713997</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616574","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","9","9","established","<a href = https://www.inaturalist.org/observations/16377819 target = _blank >iNaturalist observation ID 16377819</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
