"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"260712","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GA","Glynn","Saint Simons Island","31.1505097","-81.3695","GNIS","Approximate","Cumberland-St. Simons","03070203","2008","","","unknown","","Literature","","","Freshwater","18010","Book","2008","Jensen, J.B., C.D. Camp, G.W. Gibbons, and M.J. Elliott (editors).","Amphibians and Reptiles of Georgia.","University of Georgia Press, Athens.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"260713","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GA","Glynn","Brunswick","31.151707","-81.461563","GNIS","Approximate","Cumberland-St. Simons","03070203","2008","","","unknown","","Literature","","","Freshwater","18010","Book","2008","Jensen, J.B., C.D. Camp, G.W. Gibbons, and M.J. Elliott (editors).","Amphibians and Reptiles of Georgia.","University of Georgia Press, Athens.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"260714","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GA","Lowndes","Valdosta","30.847416","-83.279114","GNIS","Approximate","Withlacoochee","03110203","2008","","","unknown","","Literature","","","Freshwater","18010","Book","2008","Jensen, J.B., C.D. Camp, G.W. Gibbons, and M.J. Elliott (editors).","Amphibians and Reptiles of Georgia.","University of Georgia Press, Athens.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253754","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GA","Thomas","Thomas University, Thomasville","30.8168","-83.9672","Map derived","Accurate","Aucilla","03110103","2002","10","2","unknown","","Specimen","","GMNH 49896","Freshwater","18007","Journal Article","2007","Graham, D.P., E.K. Timpe, and L. Giovanetto","Significant new records for Georgia herpetofauna.","","","18010","Book","2008","Jensen, J.B., C.D. Camp, G.W. Gibbons, and M.J. Elliott (editors).","Amphibians and Reptiles of Georgia.","University of Georgia Press, Athens.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292308","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GU","","Tamuning","13.48416","144.77676","Map derived","Approximate","Guam","22010000","2007","","","established","""The species has since been found in Tamuning, Mangilao, and Manengon.""","Literature","","","Freshwater","25110","Journal Article","2007","Christy, M.T., C.S. Clark, D.E. Gee II, D. Vice, D.S. Vice, M.P. Warner, C.L. Tyrrell, G.H. Rodda, and J.A. Savidge","Recent Records of Alien Anurans on the Pacific Island of Guam.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292309","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GU","","Mangilao","13.47241","144.84628","Map derived","Approximate","Guam","22010000","2007","","","established","""The species has since been found in Tamuning, Mangilao, and Manengon.""","Literature","","","Freshwater","25110","Journal Article","2007","Christy, M.T., C.S. Clark, D.E. Gee II, D. Vice, D.S. Vice, M.P. Warner, C.L. Tyrrell, G.H. Rodda, and J.A. Savidge","Recent Records of Alien Anurans on the Pacific Island of Guam.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292310","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GU","","Manengon","13.4182","144.73936","Map derived","Approximate","Guam","22010000","2007","","","established","""The species has since been found in Tamuning, Mangilao, and Manengon.""","Literature","","","Freshwater","25110","Journal Article","2007","Christy, M.T., C.S. Clark, D.E. Gee II, D. Vice, D.S. Vice, M.P. Warner, C.L. Tyrrell, G.H. Rodda, and J.A. Savidge","Recent Records of Alien Anurans on the Pacific Island of Guam.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292307","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GU","","St. John's School, Tumon","13.50716","144.80901","Map derived","Accurate","Guam","22010000","2003","10","21","established","follow up surveys on October 23-29, 2003 confirmed a well-established populations in Tumon","Literature","","","Freshwater","25110","Journal Article","2007","Christy, M.T., C.S. Clark, D.E. Gee II, D. Vice, D.S. Vice, M.P. Warner, C.L. Tyrrell, G.H. Rodda, and J.A. Savidge","Recent Records of Alien Anurans on the Pacific Island of Guam.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"294473","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","GU","","U.S. Naval Computer and Telecommunications Station","13.53147","144.81079","Map derived","Approximate","Guam","22010000","2011","4","2","established","","Literature","","","Freshwater","25640","Journal Article","2012","Mathies, T., W.C. Pitt, and J.A. Rabon","<em>Boiga irregularis</em> (Brown treesnake).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283089","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Akoni Pule Hwy at Old Coast Guard Rd]","20.23706","-155.86786","reported","Accurate","Hawaii","20010000","2009","5","14","established","survey site a308.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
