,Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Drainage Name,Year,Month,Day,cluster
78,116871,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Bay State Shoal buoy PC",0.7770014163056288,-1.3225232674022407,Headwaters St. Lawrence River,1992,12.0,,0
79,116882,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Canada Island buoy 86",0.7834206997698852,-1.3122065808151417,Raisin River-St. Lawrence River,1992,12.0,,0
80,116881,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Canada Island buoy 88",0.783385812383467,-1.3123077809392918,Raisin River-St. Lawrence River,1992,12.0,,0
81,116883,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Canada Island buoy XE",0.7835847504221299,-1.3118383987225117,Raisin River-St. Lawrence River,1992,12.0,,0
82,116901,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Clark Island buoy D69",0.7862132237805491,-1.3014151856154514,Raisin River-St. Lawrence River,1992,12.0,,0
83,116899,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Clark Island buoy D73",0.7861451800252651,-1.3015688501623832,Raisin River-St. Lawrence River,1992,12.0,,0
84,116874,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Cock Bum Island buoy 143A",0.7777570881957393,-1.3214219169967438,Headwaters St. Lawrence River,1992,12.0,,0
85,116873,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Cole Shoal buoy 150A",0.7771654669578737,-1.32217412685175,Headwaters St. Lawrence River,1992,12.0,,0
86,116870,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Haskell Shoal N buoy 173",0.7755615116442189,-1.3233575024961028,Headwaters St. Lawrence River,1992,12.0,,0
87,116869,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Haskell Shoal W buoy 172",0.7755370770346911,-1.323427277443472,Headwaters St. Lawrence River,1992,12.0,,0
88,116897,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Ile Saint-Regis buoy D77",0.7860857915322746,-1.3020052090043865,Raisin River-St. Lawrence River,1992,12.0,,0
